Use Case Type,Packet Loss Budget,Latency Budget (ns),Jitter Budget (ns),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (ns),Slice Packet Loss,Slice Jitter (ns),Slice Type,Slice Handover,latency_margin,loss_margin,jitter_margin,stress_ratio,sla_met
Smart City,0.0,0,0,0,no,yes,7504.800707449925,763437.5104373086,0.0004541867663729,1953360.4878798807,umMTC,no,-763437.5104373086,-0.0004541867663729,-1953360.4878798807,inf,0
Delivery drones,,1000000,0,0,yes,no,3974.134900236352,2949295.8498521084,0.0004534671660101,2041659.0041507452,MBRLLC,yes,-1949295.8498521084,,-2041659.0041507452,inf,0
V2X,,1000000,0,0,yes,no,4586.980808075486,2299102.806192144,0.0008236486501896,2520594.6056373995,MBRLLC,yes,-1299102.8061921438,,-2520594.6056373995,inf,0
Smart City,0.0,0,0,0,no,yes,5044.912950290254,2198627.431120327,0.0003952565664233,1810961.2334158884,umMTC,no,-2198627.431120327,-0.0003952565664233,-1810961.2334158884,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6141.879700517866,1760949.4310329915,0.0004738105803916,3294988.452764103,mURLLC,yes,-760949.4310329915,,-3294988.452764103,inf,0
Delivery drones,,1000000,0,0,yes,no,5576.205728483123,2150835.7557241432,0.0002281113103992,2191862.7681401875,MBRLLC,yes,-1150835.7557241432,,-2191862.7681401875,inf,0
Servo motors,,100,1000,0,no,no,6522.119750196261,2034512.2177887352,0.0004934872000838,945855.6173991542,ERLLC,yes,-2034412.2177887352,,-944855.6173991542,inf,0
Motion control,,1000,1000000,0,no,no,8290.020141155968,2873844.7267180737,0.0004748255718875,1751225.8555673596,ERLLC,yes,-2872844.7267180737,,-751225.8555673596,inf,0
Smart Home,0.0,0,0,0,no,yes,3935.770966908004,2611301.7305472014,0.0004336944059361,2724719.5435263044,umMTC,no,-2611301.7305472014,-0.0004336944059361,-2724719.5435263044,inf,0
Motion control,,1000,1000000,0,no,no,6016.613342079292,2401493.163048752,0.0005263852514344,1803023.801611703,ERLLC,yes,-2400493.163048752,,-803023.8016117029,inf,0
Delivery drones,,1000000,0,0,yes,no,5534.84619034892,1544854.647406512,0.0003635003155732,2072622.889150154,MBRLLC,yes,-544854.6474065119,,-2072622.889150154,inf,0
Servo motors,,100,1000,0,no,no,5032.230522343679,2152640.215694126,0.0007440908495204,1976941.4922866523,ERLLC,yes,-2152540.215694126,,-1975941.4922866523,inf,0
V2X,,1000000,0,0,yes,no,6010.541025257359,1589724.4374958673,0.0005030625729005,377603.6925006122,MBRLLC,yes,-589724.4374958673,,-377603.6925006122,inf,0
Servo motors,,100,1000,0,no,no,4555.872766506046,2818978.634612421,0.0003716869964644,1728578.9267628929,ERLLC,yes,-2818878.634612421,,-1727578.9267628929,inf,0
V2X,,1000000,0,0,yes,no,5538.855711789704,1523345.6470746563,0.000267919194753,1696760.9300995502,MBRLLC,yes,-523345.6470746563,,-1696760.9300995502,inf,0
Smart City,0.0,0,0,0,no,yes,2825.230165881704,1910326.7337922328,0.0005078872086416,3100505.2915575057,umMTC,no,-1910326.7337922328,-0.0005078872086416,-3100505.2915575057,inf,0
Delivery drones,,1000000,0,0,yes,no,4102.564339036647,1275493.7845928157,0.0006530749939676,2884434.052139668,MBRLLC,yes,-275493.7845928157,,-2884434.052139668,inf,0
Smart City,0.0,0,0,0,no,yes,6746.19343671392,1667910.517566849,0.0005593642296647,1210699.508295782,umMTC,no,-1667910.517566849,-0.0005593642296647,-1210699.508295782,inf,0
VR/AR,,0,0,1000,no,no,6682.136790510267,1660380.7678027146,0.0008309189922266,1007557.7972109988,feMBB,yes,-1660380.7678027146,,-1007557.7972109988,6.682136790510267,0
V2X,,1000000,0,0,yes,no,5432.845588980856,1898187.7007476883,0.0008345329147946,2477362.190974823,MBRLLC,yes,-898187.7007476883,,-2477362.190974823,inf,0
Remote health monitoring,,1000000,0,0,no,yes,4245.492584309489,1400248.1643144484,0.000286801681065,2006761.1018816084,mURLLC,yes,-400248.16431444837,,-2006761.1018816084,inf,0
Smart City,0.0,0,0,0,no,yes,6375.8055051699575,2810419.425694605,0.0002515513087207,2113958.4937475,umMTC,no,-2810419.425694605,-0.0002515513087207,-2113958.4937475,inf,0
VR/AR,,0,0,1000,no,no,7061.106221264146,1875290.5533958504,0.0003717123516267,1225187.32387789,feMBB,yes,-1875290.5533958504,,-1225187.32387789,7.061106221264146,0
3D/UHD Video,,0,0,1000,no,no,4313.290611326627,1644254.3738342714,0.0006175581797676,1956777.5644360064,feMBB,yes,-1644254.3738342714,,-1956777.5644360064,4.313290611326627,0
Motion control,,1000,1000000,0,no,no,2575.709692194749,2513124.8674268844,0.0005650010156689,1541511.225212699,ERLLC,yes,-2512124.8674268844,,-541511.225212699,inf,0
Servo motors,,100,1000,0,no,no,5748.983353269124,3441599.4660602715,0.0006684646778673,1242178.4354400318,ERLLC,yes,-3441499.4660602715,,-1241178.4354400318,inf,0
VR/AR,,0,0,1000,no,no,6523.294834299504,1730509.948988448,0.0003273955349802,1768033.1779570407,feMBB,yes,-1730509.948988448,,-1768033.1779570407,6.523294834299504,0
Delivery drones,,1000000,0,0,yes,no,5979.541296642405,1836564.4181105464,0.0002043563859454,1878212.597370252,MBRLLC,yes,-836564.4181105464,,-1878212.597370252,inf,0
Smart City,0.0,0,0,0,no,yes,7608.704482183695,1507804.9232897358,0.0004014381735966,1179993.9942799387,umMTC,no,-1507804.9232897358,-0.0004014381735966,-1179993.9942799387,inf,0
Delivery drones,,1000000,0,0,yes,no,7615.739559102651,2441352.680059405,0.0005977644624744,1743144.681147412,MBRLLC,yes,-1441352.680059405,,-1743144.681147412,inf,0
Motion control,,1000,1000000,0,no,no,4491.555405138051,2636914.744446508,0.0005269457442446,1532645.89079261,ERLLC,yes,-2635914.744446508,,-532645.8907926099,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5332.12414356427,1969081.823093869,0.0007075992988501,1869049.242859561,mURLLC,yes,-969081.823093869,,-1869049.242859561,inf,0
Delivery drones,,1000000,0,0,yes,no,4173.024685785262,1707755.8013205444,0.0003813441217413,1723001.2038398534,MBRLLC,yes,-707755.8013205444,,-1723001.2038398534,inf,0
V2X,,1000000,0,0,yes,no,3297.2308496038945,2355973.892045956,0.0006659263198003,3111751.2689736565,MBRLLC,yes,-1355973.892045956,,-3111751.2689736565,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3394.928398547483,2493113.732096876,0.0003988165036884,2153596.5372624453,mURLLC,yes,-1493113.732096876,,-2153596.5372624453,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6195.416085212862,3036028.552238643,0.0006297267762398,1674843.421162004,mURLLC,yes,-2036028.5522386432,,-1674843.421162004,inf,0
VR/AR,,0,0,1000,no,no,5505.262053223957,1611645.1160700351,0.0006269684458018,2662530.001508504,feMBB,yes,-1611645.1160700351,,-2662530.001508504,5.505262053223957,0
Remote health monitoring,,1000000,0,0,no,yes,6483.6197406946485,2568224.146660229,0.0007626336799973,601805.4837397311,mURLLC,yes,-1568224.1466602292,,-601805.4837397311,inf,0
Smart Home,0.0,0,0,0,no,yes,9219.447079709103,2070521.8061367131,0.000276820749766,2374530.6412156583,umMTC,no,-2070521.8061367131,-0.000276820749766,-2374530.6412156583,inf,0
Motion control,,1000,1000000,0,no,no,5833.529360801789,843814.2996594093,0.0007305531516435,2135687.440493936,ERLLC,yes,-842814.2996594093,,-1135687.4404939362,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3687.430354929187,3014803.3343804344,0.0005743298152018,2195899.951524974,mURLLC,yes,-2014803.3343804344,,-2195899.951524974,inf,0
Delivery drones,,1000000,0,0,yes,no,6725.538846654819,2198320.67950472,0.0005100569494946,1651491.6279657218,MBRLLC,yes,-1198320.67950472,,-1651491.6279657218,inf,0
3D/UHD Video,,0,0,1000,no,no,3656.447264813542,2404536.437814418,0.000477777705535,2557939.0012204954,feMBB,yes,-2404536.437814418,,-2557939.0012204954,3.656447264813542,0
Smart Home,0.0,0,0,0,no,yes,7914.103418493774,2630878.68665556,0.0004878686251444,2231268.8738696007,umMTC,no,-2630878.68665556,-0.0004878686251444,-2231268.8738696007,inf,0
Smart Home,0.0,0,0,0,no,yes,1715.079977073094,2397371.2066880343,0.0005065708037425,2576710.719697089,umMTC,no,-2397371.2066880343,-0.0005065708037425,-2576710.719697089,inf,0
V2X,,1000000,0,0,yes,no,4089.6761742654494,1355338.947928892,0.0002318681098852,1416004.2908843164,MBRLLC,yes,-355338.947928892,,-1416004.2908843164,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6037.293432139449,2449786.214775992,0.0005406732424572,2741028.173888758,mURLLC,yes,-1449786.214775992,,-2741028.173888758,inf,0
V2X,,1000000,0,0,yes,no,6962.838736208601,2331087.4563616733,0.0005252392828677,1646481.6322245542,MBRLLC,yes,-1331087.4563616733,,-1646481.6322245542,inf,0
V2X,,1000000,0,0,yes,no,3872.307620037411,886773.7615783578,0.0003903448421178,1018261.0497468548,MBRLLC,yes,113226.23842164222,,-1018261.0497468548,inf,0
3D/UHD Video,,0,0,1000,no,no,3570.2130965724364,3110691.7202588245,0.0005054750321526,3220121.3040859606,feMBB,yes,-3110691.7202588245,,-3220121.3040859606,3.5702130965724366,0
VR/AR,,0,0,1000,no,no,5247.753924862023,1748450.8856406335,0.0006838862049299,2552867.0686256066,feMBB,yes,-1748450.8856406335,,-2552867.0686256066,5.247753924862023,0
Remote health monitoring,,1000000,0,0,no,yes,8181.83825141227,2663712.0764809544,0.0003975308697061,3280164.624468901,mURLLC,yes,-1663712.0764809544,,-3280164.624468901,inf,0
Smart City,0.0,0,0,0,no,yes,2436.7936740525333,1776000.367936667,0.0003101424373534,1986897.551373852,umMTC,no,-1776000.367936667,-0.0003101424373534,-1986897.551373852,inf,0
V2X,,1000000,0,0,yes,no,4477.018858062085,1644526.2865126976,0.0003795511488533,2659427.934929632,MBRLLC,yes,-644526.2865126976,,-2659427.934929632,inf,0
Motion control,,1000,1000000,0,no,no,5434.098335373023,1947385.9077346248,0.0001522512887383,2827216.8343556384,ERLLC,yes,-1946385.9077346248,,-1827216.8343556384,inf,0
Servo motors,,100,1000,0,no,no,3674.05038615854,3414483.183441881,0.0007984515883083,1769138.3994861878,ERLLC,yes,-3414383.183441881,,-1768138.3994861878,inf,0
Motion control,,1000,1000000,0,no,no,3668.322868186403,3341962.4176860866,0.0003614357151318,929334.9262422558,ERLLC,yes,-3340962.4176860866,,70665.07375774416,inf,0
3D/UHD Video,,0,0,1000,no,no,4611.552874255015,1643645.259306251,0.0007104596298566,2276084.0869272617,feMBB,yes,-1643645.259306251,,-2276084.0869272617,4.611552874255015,0
3D/UHD Video,,0,0,1000,no,no,5488.30092511145,2831561.715219379,0.000293256564189,2189602.643669478,feMBB,yes,-2831561.715219379,,-2189602.643669478,5.48830092511145,0
Delivery drones,,1000000,0,0,yes,no,4675.429766113312,2015578.696495847,0.0003968885701548,2218157.2141632964,MBRLLC,yes,-1015578.6964958471,,-2218157.2141632964,inf,0
VR/AR,,0,0,1000,no,no,7442.865159667881,3345543.433151439,0.0005106821083412,2000525.3446180057,feMBB,yes,-3345543.433151439,,-2000525.3446180057,7.442865159667881,0
V2X,,1000000,0,0,yes,no,5988.074196706517,2768580.9444478885,0.0006073256630668,1655939.6077441154,MBRLLC,yes,-1768580.9444478885,,-1655939.6077441154,inf,0
Motion control,,1000,1000000,0,no,no,5639.042844687918,2186037.418464634,0.0004883775017769,1593940.376371528,ERLLC,yes,-2185037.418464634,,-593940.376371528,inf,0
Servo motors,,100,1000,0,no,no,6713.084756577401,2054255.1899204797,0.0002434114556871,2460135.4805789706,ERLLC,yes,-2054155.1899204797,,-2459135.4805789706,inf,0
3D/UHD Video,,0,0,1000,no,no,5668.438018542969,2405593.466714012,0.0004907519397305,1.0,feMBB,yes,-2405593.466714012,,-1.0,5.668438018542969,0
3D/UHD Video,,0,0,1000,no,no,4261.929485602104,2322338.2372030863,0.0007098818513538,863206.6784349394,feMBB,yes,-2322338.2372030863,,-863206.6784349394,4.261929485602105,0
VR/AR,,0,0,1000,no,no,4561.956436918212,1264910.2297208249,0.0005542909113451,766520.0542937359,feMBB,yes,-1264910.2297208249,,-766520.0542937359,4.561956436918211,0
Servo motors,,100,1000,0,no,no,3118.294550016568,2138542.725954955,0.0008692849989436,656726.0010888374,ERLLC,yes,-2138442.725954955,,-655726.0010888374,inf,0
Servo motors,,100,1000,0,no,no,8341.629497870705,1565546.4802863514,0.0005285690219472,1904768.517109978,ERLLC,yes,-1565446.4802863514,,-1903768.517109978,inf,0
VR/AR,,0,0,1000,no,no,6551.551495561816,1646871.364425661,0.0006688717864881,2373553.5347789507,feMBB,yes,-1646871.364425661,,-2373553.5347789507,6.551551495561816,0
3D/UHD Video,,0,0,1000,no,no,734.9570083746994,2743035.111120787,0.0005875364499292,2349927.992465464,feMBB,yes,-2743035.111120787,,-2349927.992465464,0.7349570083746993,0
Remote health monitoring,,1000000,0,0,no,yes,7222.158532999546,2135832.984810513,0.0003944502409069,1187591.927111036,mURLLC,yes,-1135832.984810513,,-1187591.927111036,inf,0
Remote health monitoring,,1000000,0,0,no,yes,2557.5232547057167,1696987.139330557,0.0004897232290378,858578.676390233,mURLLC,yes,-696987.1393305571,,-858578.676390233,inf,0
VR/AR,,0,0,1000,no,no,5868.19485179747,1192087.729804799,0.0006854543214319,2110104.6706334366,feMBB,yes,-1192087.729804799,,-2110104.6706334366,5.86819485179747,0
Servo motors,,100,1000,0,no,no,1327.4910817733494,1482636.5209420952,0.0004421758212112,2341756.046903201,ERLLC,yes,-1482536.5209420952,,-2340756.046903201,inf,0
V2X,,1000000,0,0,yes,no,4287.022452729261,1960372.07180405,0.0005665852228964,2386055.2251825044,MBRLLC,yes,-960372.0718040499,,-2386055.2251825044,inf,0
VR/AR,,0,0,1000,no,no,7235.165690651775,3123906.3732480826,0.0003964470316439,1053801.0285290696,feMBB,yes,-3123906.3732480826,,-1053801.0285290696,7.235165690651774,0
VR/AR,,0,0,1000,no,no,7327.990372051291,1300616.5583207763,0.0006548564074503,2551916.3347069738,feMBB,yes,-1300616.5583207763,,-2551916.3347069738,7.327990372051291,0
Smart Home,0.0,0,0,0,no,yes,5511.741192107813,2196509.978856201,0.000513783061147,2120441.6382316253,umMTC,no,-2196509.978856201,-0.000513783061147,-2120441.6382316253,inf,0
Motion control,,1000,1000000,0,no,no,6312.810077930888,2271413.299102889,0.0006441144875874,1335863.8887518826,ERLLC,yes,-2270413.299102889,,-335863.8887518826,inf,0
Servo motors,,100,1000,0,no,no,2644.7852186902805,2815093.130846104,0.0007075562371105,1582127.4966888886,ERLLC,yes,-2814993.130846104,,-1581127.4966888886,inf,0
Delivery drones,,1000000,0,0,yes,no,5897.632398904551,2083252.2514921008,0.0006119308829454,1405908.9811158376,MBRLLC,yes,-1083252.2514921008,,-1405908.9811158376,inf,0
Delivery drones,,1000000,0,0,yes,no,6418.6427436791855,2271985.461949449,0.0004698925889488,1458324.868751821,MBRLLC,yes,-1271985.461949449,,-1458324.868751821,inf,0
Servo motors,,100,1000,0,no,no,9282.98143852728,2788066.132760398,0.0004729433735926,2731141.620289125,ERLLC,yes,-2787966.132760398,,-2730141.620289125,inf,0
Smart Home,0.0,0,0,0,no,yes,3961.905037080905,1481958.160824351,0.0001490595790574,2347242.806237617,umMTC,no,-1481958.160824351,-0.0001490595790574,-2347242.806237617,inf,0
Smart Home,0.0,0,0,0,no,yes,5027.668644577348,2527470.734700964,0.000571389303175,1260922.8926232727,umMTC,no,-2527470.734700964,-0.000571389303175,-1260922.8926232727,inf,0
3D/UHD Video,,0,0,1000,no,no,5130.678833568232,1070688.0382072243,0.0006749064040258,1698769.2133404645,feMBB,yes,-1070688.0382072243,,-1698769.2133404645,5.130678833568232,0
Motion control,,1000,1000000,0,no,no,6164.689792338044,2042796.381605585,0.0002936480260755,2400817.2168196524,ERLLC,yes,-2041796.381605585,,-1400817.2168196524,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6467.871061911355,1841768.220754444,0.0004738986055339,649190.7472645047,mURLLC,yes,-841768.2207544439,,-649190.7472645047,inf,0
Smart City,0.0,0,0,0,no,yes,6768.51503379781,1518600.3089643703,0.0004705175338749,2399260.4071489084,umMTC,no,-1518600.3089643703,-0.0004705175338749,-2399260.4071489084,inf,0
Smart City,0.0,0,0,0,no,yes,6646.9389384948,2648262.4775509574,0.0005773066760586,3318764.3063133685,umMTC,no,-2648262.4775509574,-0.0005773066760586,-3318764.3063133685,inf,0
Smart City,0.0,0,0,0,no,yes,2532.2163655308905,2685674.934137955,0.0005244448886412,2210106.832587928,umMTC,no,-2685674.934137955,-0.0005244448886412,-2210106.832587928,inf,0
Servo motors,,100,1000,0,no,no,645.6073989538836,2712685.2520753182,0.0003480115894886,1877727.270711528,ERLLC,yes,-2712585.2520753182,,-1876727.270711528,inf,0
Delivery drones,,1000000,0,0,yes,no,4143.2917509261215,2253160.870271213,0.0007685352753695,986854.887684333,MBRLLC,yes,-1253160.870271213,,-986854.887684333,inf,0
Delivery drones,,1000000,0,0,yes,no,4941.477828463451,1178280.8758444204,0.0002219438801455,464420.5259850761,MBRLLC,yes,-178280.8758444204,,-464420.5259850761,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3978.489279148382,1780683.7233967169,0.0003989857865255,1660072.489927984,mURLLC,yes,-780683.7233967169,,-1660072.489927984,inf,0
Servo motors,,100,1000,0,no,no,4234.413044688666,2670587.3339023567,0.0002780406583417,2328101.736428727,ERLLC,yes,-2670487.3339023567,,-2327101.736428727,inf,0
Smart City,0.0,0,0,0,no,yes,4440.140328670956,2661792.67330256,0.0005592894917516,1891914.7964749571,umMTC,no,-2661792.67330256,-0.0005592894917516,-1891914.7964749571,inf,0
V2X,,1000000,0,0,yes,no,5962.80542553238,2797796.822413816,0.0005774001921888,2817662.026136004,MBRLLC,yes,-1797796.8224138161,,-2817662.026136004,inf,0
Delivery drones,,1000000,0,0,yes,no,3277.8521902774564,2209394.4684518506,0.0004805407706376,2246010.950970668,MBRLLC,yes,-1209394.4684518506,,-2246010.950970668,inf,0
3D/UHD Video,,0,0,1000,no,no,4870.80002136045,1878715.6879680871,0.0002979074285998,1468307.7256125244,feMBB,yes,-1878715.6879680871,,-1468307.7256125244,4.87080002136045,0
VR/AR,,0,0,1000,no,no,4883.55566857097,689684.3381220773,0.00034455992947,2838806.668073329,feMBB,yes,-689684.3381220773,,-2838806.668073329,4.88355566857097,0
V2X,,1000000,0,0,yes,no,5924.906447624392,2575098.5458556265,0.0006487002608897,2394414.4026311296,MBRLLC,yes,-1575098.5458556265,,-2394414.4026311296,inf,0
Delivery drones,,1000000,0,0,yes,no,6936.814415381553,1933903.5659338715,0.0004867062391354,947692.9590055356,MBRLLC,yes,-933903.5659338715,,-947692.9590055356,inf,0
Smart Home,0.0,0,0,0,no,yes,7807.064978969305,1164148.760051187,0.0004242110337889,1338298.388431348,umMTC,no,-1164148.760051187,-0.0004242110337889,-1338298.388431348,inf,0
Delivery drones,,1000000,0,0,yes,no,3757.306364427664,2508485.736461757,0.0003839062648092,1672548.9687313214,MBRLLC,yes,-1508485.7364617572,,-1672548.9687313214,inf,0
3D/UHD Video,,0,0,1000,no,no,1667.5423114942728,2946369.236506347,0.0004800169693119,3177337.9675682355,feMBB,yes,-2946369.236506347,,-3177337.9675682355,1.6675423114942727,0
Smart City,0.0,0,0,0,no,yes,4597.326606812646,2578180.4525549887,0.0005948945578748,2493404.577586975,umMTC,no,-2578180.4525549887,-0.0005948945578748,-2493404.577586975,inf,0
Smart Home,0.0,0,0,0,no,yes,2353.070005643306,2449948.74380816,0.0004592077573248,1312920.1876734667,umMTC,no,-2449948.74380816,-0.0004592077573248,-1312920.1876734667,inf,0
Servo motors,,100,1000,0,no,no,9557.672419276743,2622269.8807803155,0.0005721384668935,4000000.0,ERLLC,yes,-2622169.8807803155,,-3999000.0,inf,0
Motion control,,1000,1000000,0,no,no,3545.844615348089,179580.36590899015,0.0002395423204592,2524058.9164861995,ERLLC,yes,-178580.36590899015,,-1524058.9164861995,inf,0
Smart City,0.0,0,0,0,no,yes,5940.128970460277,3147441.0429292014,0.0006890610290191,1208733.5651825017,umMTC,no,-3147441.0429292014,-0.0006890610290191,-1208733.5651825017,inf,0
Motion control,,1000,1000000,0,no,no,6557.121166772937,1472176.0278625083,0.0004936733439202,1801544.116470453,ERLLC,yes,-1471176.0278625083,,-801544.1164704531,inf,0
V2X,,1000000,0,0,yes,no,5568.147110008632,1530671.4090839005,0.0003365527600105,1655100.0051551326,MBRLLC,yes,-530671.4090839005,,-1655100.0051551326,inf,0
VR/AR,,0,0,1000,no,no,8461.354465456781,1685932.2031749785,0.0005734763779618,1439855.2119377411,feMBB,yes,-1685932.2031749785,,-1439855.2119377411,8.46135446545678,0
Smart Home,0.0,0,0,0,no,yes,4663.065179997002,1762157.4620003344,0.0005301403403259,2868879.369668984,umMTC,no,-1762157.4620003344,-0.0005301403403259,-2868879.369668984,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3609.169551340421,3000272.070062245,0.000312757397127,1915048.670494432,mURLLC,yes,-2000272.0700622448,,-1915048.670494432,inf,0
Smart Home,0.0,0,0,0,no,yes,3522.940083849928,2362555.853856493,0.0004797416714865,2619619.402164712,umMTC,no,-2362555.853856493,-0.0004797416714865,-2619619.402164712,inf,0
Delivery drones,,1000000,0,0,yes,no,6250.384490057036,1547664.4972337447,0.0004137041884265,1917184.331383048,MBRLLC,yes,-547664.4972337447,,-1917184.331383048,inf,0
Delivery drones,,1000000,0,0,yes,no,4684.201222599282,1648565.6161304836,0.000288710508758,1760538.777074845,MBRLLC,yes,-648565.6161304836,,-1760538.777074845,inf,0
Delivery drones,,1000000,0,0,yes,no,3523.166099159538,3662913.222640536,0.0004297325484025,1601836.764064327,MBRLLC,yes,-2662913.222640536,,-1601836.764064327,inf,0
V2X,,1000000,0,0,yes,no,5735.935141670033,2235357.325234712,0.0003257813094212,2012122.717021316,MBRLLC,yes,-1235357.325234712,,-2012122.717021316,inf,0
Smart City,0.0,0,0,0,no,yes,6182.463833609674,1712117.7183383168,0.0002961362316033,1480707.7104006214,umMTC,no,-1712117.7183383168,-0.0002961362316033,-1480707.7104006214,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5452.630092945971,918756.6123847386,0.0005828487692525,1979685.8094504464,mURLLC,yes,81243.38761526137,,-1979685.8094504464,inf,0
Remote health monitoring,,1000000,0,0,no,yes,6499.677387827289,882871.3332575741,0.0005509516600762,1620038.7139122274,mURLLC,yes,117128.66674242588,,-1620038.7139122274,inf,0
Delivery drones,,1000000,0,0,yes,no,5147.316338315047,1255409.170294607,0.0004572004227224,1103738.829849535,MBRLLC,yes,-255409.17029460706,,-1103738.829849535,inf,0
Motion control,,1000,1000000,0,no,no,4011.22337558743,2063892.4026706368,0.0001263932151386,1761054.8204935377,ERLLC,yes,-2062892.4026706368,,-761054.8204935377,inf,0
V2X,,1000000,0,0,yes,no,6352.698219173932,2739609.636530448,0.0004880841055425,814553.1490201382,MBRLLC,yes,-1739609.6365304482,,-814553.1490201382,inf,0
Delivery drones,,1000000,0,0,yes,no,3517.1679254950286,2410716.694048752,0.0006267491000725,2903943.2870839927,MBRLLC,yes,-1410716.694048752,,-2903943.2870839927,inf,0
VR/AR,,0,0,1000,no,no,3119.2125688912392,2782707.6686042086,0.000701825100609,2334723.2706454755,feMBB,yes,-2782707.6686042086,,-2334723.2706454755,3.119212568891239,0
Smart City,0.0,0,0,0,no,yes,6926.890090392908,2377183.451165281,0.0006695964570486,1690420.269845551,umMTC,no,-2377183.451165281,-0.0006695964570486,-1690420.269845551,inf,0
Servo motors,,100,1000,0,no,no,4420.811356300849,1182771.077728527,0.0003017138673482,820817.5955460819,ERLLC,yes,-1182671.077728527,,-819817.5955460819,inf,0
VR/AR,,0,0,1000,no,no,7776.362235090046,2283237.8141122,0.0003703730634208,2009615.1320559543,feMBB,yes,-2283237.8141122,,-2009615.1320559543,7.776362235090046,0
Motion control,,1000,1000000,0,no,no,6428.015212079889,2311749.0916838124,0.0004722323134755,2151574.380880315,ERLLC,yes,-2310749.0916838124,,-1151574.3808803149,inf,0
Smart Home,0.0,0,0,0,no,yes,4294.172783284252,1919934.8847442083,0.0004872181086233,2278925.6691256296,umMTC,no,-1919934.8847442083,-0.0004872181086233,-2278925.6691256296,inf,0
Smart Home,0.0,0,0,0,no,yes,5810.788016865735,1796016.8081415026,0.0005050622374216,1484415.0714572773,umMTC,no,-1796016.8081415026,-0.0005050622374216,-1484415.0714572773,inf,0
VR/AR,,0,0,1000,no,no,9214.04572736572,1901155.509854331,0.0006865986498863,2140035.7424136363,feMBB,yes,-1901155.509854331,,-2140035.7424136363,9.21404572736572,0
Delivery drones,,1000000,0,0,yes,no,6257.496192496851,969055.8760200808,0.0005325764341518,3273757.2254599435,MBRLLC,yes,30944.12397991924,,-3273757.2254599435,inf,0
Servo motors,,100,1000,0,no,no,5969.901228086276,1111890.997096708,0.0007022878376276,1653467.946286769,ERLLC,yes,-1111790.997096708,,-1652467.946286769,inf,0
3D/UHD Video,,0,0,1000,no,no,4009.3973307679066,3694510.309619694,0.0003709986307717,2690010.530136622,feMBB,yes,-3694510.309619694,,-2690010.530136622,4.009397330767906,0
3D/UHD Video,,0,0,1000,no,no,8074.450401215179,1165686.2726434292,0.0004350947523987,1990563.3319050604,feMBB,yes,-1165686.2726434292,,-1990563.3319050604,8.074450401215179,0
Motion control,,1000,1000000,0,no,no,7196.843199569369,822259.268544666,0.0004292616447143,1905537.925081802,ERLLC,yes,-821259.268544666,,-905537.9250818021,inf,0
Delivery drones,,1000000,0,0,yes,no,4024.6608741274513,1519778.2665036847,0.0004906112952868,2086874.8995171508,MBRLLC,yes,-519778.2665036847,,-2086874.8995171508,inf,0
Remote health monitoring,,1000000,0,0,no,yes,8134.208023540417,2306086.065727446,0.0002739205086374,1642386.6209325772,mURLLC,yes,-1306086.0657274462,,-1642386.6209325772,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5275.057902301163,2374123.901096598,0.0008202303502818,2093945.6882031823,mURLLC,yes,-1374123.9010965978,,-2093945.6882031823,inf,0
Smart City,0.0,0,0,0,no,yes,3600.0039391623995,1317365.373627793,0.000516073570821,2643822.2034510924,umMTC,no,-1317365.373627793,-0.000516073570821,-2643822.2034510924,inf,0
Servo motors,,100,1000,0,no,no,4003.068575086909,2064388.707030997,0.0003094231091907,2601695.407217732,ERLLC,yes,-2064288.707030997,,-2600695.407217732,inf,0
Servo motors,,100,1000,0,no,no,6463.189328230116,1636930.0435905182,0.0003187817434119,2766253.653391283,ERLLC,yes,-1636830.0435905182,,-2765253.653391283,inf,0
Smart Home,0.0,0,0,0,no,yes,3611.4719886003104,2126861.9876127,0.0005133833774805,1584223.397543878,umMTC,no,-2126861.9876127,-0.0005133833774805,-1584223.397543878,inf,0
V2X,,1000000,0,0,yes,no,3162.156534310316,1804494.8510126416,0.0005987148086471,2038501.52652949,MBRLLC,yes,-804494.8510126416,,-2038501.52652949,inf,0
Motion control,,1000,1000000,0,no,no,4269.115675049608,1537305.618113098,0.0006566552056518,3451394.1397535,ERLLC,yes,-1536305.618113098,,-2451394.1397535,inf,0
3D/UHD Video,,0,0,1000,no,no,4518.026211521381,1567246.2056335143,0.0005078855257552,1351370.0902468974,feMBB,yes,-1567246.2056335143,,-1351370.0902468974,4.518026211521381,0
Motion control,,1000,1000000,0,no,no,3878.419676523336,533913.7707490046,0.000601661380457,1925775.409169015,ERLLC,yes,-532913.7707490046,,-925775.409169015,inf,0
